author,updated_at,like_count,text,public
@MACHADO-0MACHADO-O,2024-04-07T15:52:00Z,0,😂😂😂,True
@Roydixion-ys,2024-04-07T15:21:07Z,0,I hope Rowlly makes a comeback😂,True
@taylorburdan4467,2024-04-07T15:19:31Z,0,What a pointless match up.,True
@Miguel-gf3qq,2024-04-07T15:07:11Z,0,La verdad si un peleador  inteligente pelea con el pitbull le puede ganar cruz es muy desordenado para tirar golpes esos volados quedan en la nada ala hora de tirar golpes,True
@firstlookaheadnolan8707,2024-04-07T14:58:15Z,0,Romero can cha cha 😅🕺🤣,True
@user-lw4qu7qm8k,2024-04-07T14:53:34Z,1,Rolly know now why davis dont want rematch,True
@MmGocrazy-rs1cc,2024-04-07T14:37:40Z,0,Finally somebody boxing,True
@JKMDR,2024-04-07T14:08:31Z,1,That’s what a 🇲🇽 warrior looks like .. Viva La Raza .. Coming from a 🇵🇷 Boricua … México 🇲🇽 don’t play 👍,True
@dariousjohnson666,2024-04-07T14:05:40Z,0,Ref did A great job,True
@user-fu1mz9ok2i,2024-04-07T14:02:37Z,0,This Cruz his rematch against tank.,True
@AMLO_AReelegir,2024-04-07T13:51:32Z,0,"Cruz ist one of the best. He can beat Gervonta, but this one is afraid of him . They fight no more against.",True
@mikiejohn4518,2024-04-07T13:34:42Z,0,He couldn't do that to tank could he lol that's why he's fighting people tank knocked out quicker lol,True
@alexnunezhawkeye5810,2024-04-07T13:23:31Z,0,"Pitbull falló en el primer round lo tuvo y no lo apuró,se perdió el nocout",True
@christopherhornes-yz5ni,2024-04-07T11:40:12Z,0,He's not on his level pitbull the real deal 😊,True
@Dorreace,2024-04-07T09:36:11Z,0,"He scared of Isaac reaction every swing, boy was running lol",True
@Dorreace,2024-04-07T09:35:24Z,0,Finally a good ass beating without the ref stopping it too early,True
@bruceleroy849,2024-04-07T07:52:34Z,0,Great stoppage,True
@sirheadshotsalot,2024-04-07T07:25:10Z,0,I’m surprised he didn’t go down after all them hard shots,True
@fisforford7068,2024-04-07T07:15:56Z,0,Rolly got tagged. Gatcho 🙃,True
@MartinRodriguez-jh5np,2024-04-07T06:22:23Z,0,Ni miraba por donde le llegaban los golpes al cubano bocón 😂😂😂😂😂😂,True
@renzel689,2024-04-07T05:59:25Z,0,CRUZ NEED TO GET HIS PAYBACK ON TANK NEXT 😮‍💨😮‍💨😮‍💨😮‍💨,True
@motivationaltalks29,2024-04-07T05:51:49Z,0,Cruz reminds me of Maidana 😂,True
@holeephuk1161,2024-04-07T05:37:08Z,0,Pitbull had dude on skates😬🤣 lesson learned don't talk if you can't back it up. He's gonna have to pawn that chain🤣🤣 stay humble,True
@gerardoivanmedina8321,2024-04-07T05:28:54Z,0,Que verguiza,True
@eg2076,2024-04-07T05:11:35Z,0,VIVA MEXICO ALV 🇲🇽  BEAT HIS ASS CLEAN😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,True
@cire06.,2024-04-07T05:03:34Z,0,"Rolly on his next interview.
Nah he didn't hit hard",True
@bidarimedan5658,2024-04-07T04:24:35Z,0,Pitbull still the worth opponent for tank,True
@rakeem176,2024-04-07T04:06:30Z,0,clown Trying to bully pitbull 😂😂😂🤣🤣🤣🤣💪🏼💪🏼💪🏼🥇🏆🏆🏆🥇🇲🇽,True
@juanantonior7288,2024-04-07T04:01:22Z,0,"Alaverga, que manera de atinar y no atinar golpes del pitbull, una bestia, siento que barrera las 140, no veo quien lo pare.",True
@maxjulien8394,2024-04-07T02:58:10Z,0,"Why would a taller figter fight a shorter fighter on the inside?  O.yea,, bcuz he's a moron..lol,,smh Rolly,, just go he Jake Paul route bro...",True
@lopez8871,2024-04-07T02:48:18Z,0,you dont fight a brawler😂,True
@joe9893,2024-04-07T01:44:27Z,1,Love Cruz’s crazy urgency to escape the clinch so he keep punching,True
@jasongarcia7731,2024-04-07T01:20:18Z,0,The thumbnail 😂🤣😂🤣,True
@FredJ2091,2024-04-07T01:18:00Z,0,"IDK how that MFER ever became a pro, he's pure garbage, (shout-out to Cruz for destroying that A-hole)!!",True
@Jackie_08-rn9og,2024-04-07T01:14:51Z,0,He got what he deserved for calling pitbull “fat”,True
@flyBri831,2024-04-07T01:13:53Z,0,"Rolly boy GOT NOODLE LEGS AND BRAIN.
WHAP UPSDIE YO SHIT TALKIN HEAD PUNK!!!!!
TIME TO RAISE LITTLE NERVOUS DOGGIES THERE ROLLY.
HANG IT UP B 4 YOU GET SERIOUS BRAIN DAMAGE.
2 PLUS 2 EAQUALS 11?
5? 8?",True
@ricardomaldonado8185,2024-04-07T01:09:04Z,0,Excellent,True
@ShawnJames310,2024-04-07T00:31:29Z,0,Frank Martin > pitbull........ Frank would beat his shit in ......,True
@ShawnJames310,2024-04-07T00:31:12Z,0,Frank Martin > pitbull........ Frank would beat his shit in ......,True
@sergiomoreno6861,2024-04-07T00:00:37Z,0,"I wonder if Rolly returned the Chihuahua he got, poor little dog, not it's faul Rolly traumatized now",True
@DuncanMoleshy,2024-04-06T23:39:23Z,2,Wanna see tank vs cruz rematch.if you want too like my comment,True
