author,updated_at,like_count,text,video_id,public
@MACHADO-0MACHADO-O,2024-04-07T15:52:00Z,0,😂😂😂,cQOq2Ih36EU,True
@Roydixion-ys,2024-04-07T15:21:07Z,0,I hope Rowlly makes a comeback😂,cQOq2Ih36EU,True
@taylorburdan4467,2024-04-07T15:19:31Z,0,What a pointless match up.,cQOq2Ih36EU,True
@Miguel-gf3qq,2024-04-07T15:07:11Z,0,La verdad si un peleador  inteligente pelea con el pitbull le puede ganar cruz es muy desordenado para tirar golpes esos volados quedan en la nada ala hora de tirar golpes,cQOq2Ih36EU,True
@firstlookaheadnolan8707,2024-04-07T14:58:15Z,0,Romero can cha cha 😅🕺🤣,cQOq2Ih36EU,True
@user-lw4qu7qm8k,2024-04-07T14:53:34Z,1,Rolly know now why davis dont want rematch,cQOq2Ih36EU,True
@MmGocrazy-rs1cc,2024-04-07T14:37:40Z,0,Finally somebody boxing,cQOq2Ih36EU,True
@JKMDR,2024-04-07T14:08:31Z,1,That’s what a 🇲🇽 warrior looks like .. Viva La Raza .. Coming from a 🇵🇷 Boricua … México 🇲🇽 don’t play 👍,cQOq2Ih36EU,True
@dariousjohnson666,2024-04-07T14:05:40Z,0,Ref did A great job,cQOq2Ih36EU,True
@user-fu1mz9ok2i,2024-04-07T14:02:37Z,0,This Cruz his rematch against tank.,cQOq2Ih36EU,True
@AMLO_AReelegir,2024-04-07T13:51:32Z,0,"Cruz ist one of the best. He can beat Gervonta, but this one is afraid of him . They fight no more against.",cQOq2Ih36EU,True
@mikiejohn4518,2024-04-07T13:34:42Z,0,He couldn't do that to tank could he lol that's why he's fighting people tank knocked out quicker lol,cQOq2Ih36EU,True
@alexnunezhawkeye5810,2024-04-07T13:23:31Z,0,"Pitbull falló en el primer round lo tuvo y no lo apuró,se perdió el nocout",cQOq2Ih36EU,True
@christopherhornes-yz5ni,2024-04-07T11:40:12Z,0,He's not on his level pitbull the real deal 😊,cQOq2Ih36EU,True
@Dorreace,2024-04-07T09:36:11Z,0,"He scared of Isaac reaction every swing, boy was running lol",cQOq2Ih36EU,True
@Dorreace,2024-04-07T09:35:24Z,0,Finally a good ass beating without the ref stopping it too early,cQOq2Ih36EU,True
@bruceleroy849,2024-04-07T07:52:34Z,0,Great stoppage,cQOq2Ih36EU,True
@sirheadshotsalot,2024-04-07T07:25:10Z,0,I’m surprised he didn’t go down after all them hard shots,cQOq2Ih36EU,True
@fisforford7068,2024-04-07T07:15:56Z,0,Rolly got tagged. Gatcho 🙃,cQOq2Ih36EU,True
@MartinRodriguez-jh5np,2024-04-07T06:22:23Z,0,Ni miraba por donde le llegaban los golpes al cubano bocón 😂😂😂😂😂😂,cQOq2Ih36EU,True
@renzel689,2024-04-07T05:59:25Z,0,CRUZ NEED TO GET HIS PAYBACK ON TANK NEXT 😮‍💨😮‍💨😮‍💨😮‍💨,cQOq2Ih36EU,True
@motivationaltalks29,2024-04-07T05:51:49Z,0,Cruz reminds me of Maidana 😂,cQOq2Ih36EU,True
