author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@radielblanco9396,2024-03-31T13:36:09Z,0,Que clase de papelazo estos cubanos lo único que saben hacer es hablar y hablar pero en el boxeo no son la suela de los zapatos de los mexicanos y ojo soy cubano,True,Que clase de papelazo estos cubanos lo único que saben hacer es hablar y hablar pero en el boxeo no son la suela de los zapatos de los mexicanos y ojo soy cubano,clase papelazo cubano único saben hacer hablar hablar boxeo suela zapato mexicano ojo cubano,es
@hanz-ed6js,2024-03-31T13:35:45Z,0,Ahora sí que se prepare  gervonta David queremos la revancha está vez el pitbull cruz lo cazara en un  2 x 3 está vez no va a correr tanto,True,Ahora sí que se prepare  gervonta David queremos la revancha está vez el pitbull cruz lo cazara en un  2 x 3 está vez no va a correr tanto,ahora prepar gervonta david queremo revancha vez pitbul cruz cazara 2 x 3 vez va correr,es
@hpbete,2024-03-31T13:35:18Z,0,SE lo merecia,True,SE lo merecia,merecia,es
@diegopavon8071,2024-03-31T13:35:02Z,0,Si tira así los cross gervonta le rompe el mentón de uppercut pero cuando pela se defiende mucho con los brazo y tampoco no tira ni jab ni rectos  como para q entre el uppercut de gervonta deja muy descubierto con romero el mentón,True,Si tira así los cross gervonta le rompe el mentón de uppercut pero cuando pela se defiende mucho con los brazo y tampoco no tira ni jab ni rectos  como para q entre el uppercut de gervonta deja muy descubierto con romero el mentón,si tira así cross gervonta romp mentón uppercut pela defiend brazo tampoco tira jab recto q uppercut gervonta deja descubierto romero mentón,es
@alucard714,2024-03-31T13:34:55Z,3,"Una tecnica impecable la de Rolly, bloqueando los golpes del pitbull con el rostro.",True,"Una tecnica impecable la de Rolly, bloqueando los golpes del pitbull con el rostro.",tecnica impec rolli bloqueando golp pitbul rostro,es
@user-fx4rt7rp7n,2024-03-31T13:34:28Z,0,Viva Mexico cabrones,True,Viva Mexico cabrones,viva mexico cabron,es
@jorgealbertorodriguezescob1992,2024-03-31T13:33:47Z,0,Este cruz si se faja no que el payaso de canelo es un payaso,True,Este cruz si se faja no que el payaso de canelo es un payaso,cruz si faja payaso canelo payaso,es
@JORGEGONZALEZ-fl9wb,2024-03-31T13:31:34Z,10,"Señores, tenemos nuevo ídolo en el boxeo 🇲🇽",True,"Señores, tenemos nuevo ídolo en el boxeo ",señor nuevo ídolo boxeo,es
@JoseSanchez-gc4ri,2024-03-31T13:30:39Z,0,Una pelea como esta es lo que los mexicanos esperan de canelo,True,Una pelea como esta es lo que los mexicanos esperan de canelo,pelea mexicano esperan canelo,es
@OscarLopez-mg1xb,2024-03-31T13:30:00Z,0,Mejor se mete a jugar tenis de mesa malo con cojone,True,Mejor se mete a jugar tenis de mesa malo con cojone,mejor mete jugar teni mesa malo cojon,es
@BenytoMendoza,2024-03-31T13:29:26Z,0,Siempre pasa asi con los payasos les terminan dando si vrgisa😂,True,Siempre pasa asi con los payasos les terminan dando si vrgisa,siempr pasa asi payaso terminan dando si vrgisa,es
@OscarLopez-mg1xb,2024-03-31T13:28:51Z,0,Soy cubano y fui boxeador de niño teniendo buenos resultados de 30 peleas 3 perdidas este romero no será boxeador ni en la otra vida tiene la quijada de cristal y no sabe pelear mejor lo desechan pala pinga,True,Soy cubano y fui boxeador de niño teniendo buenos resultados de 30 peleas 3 perdidas este romero no será boxeador ni en la otra vida tiene la quijada de cristal y no sabe pelear mejor lo desechan pala pinga,cubano boxeador niño bueno resultado 30 pelea 3 perdida romero boxeador vida quijada cristal sabe pelear mejor desechan pala pinga,es
@MercedesSanchez-mt8ve,2024-03-31T13:28:30Z,2,Tenemos otro campeón mexicano !!!,True,Tenemos otro campeón mexicano !!!,campeón mexicano,es
@CarlosPizano702,2024-03-31T13:28:09Z,9,Soy mexicano esa es mi bandera Vivia Mexico rip lefty,True,Soy mexicano esa es mi bandera Vivia Mexico rip lefty,mexicano bandera vivia mexico rip lefti,es
@pablogarcia-oj3fg,2024-03-31T13:25:49Z,0,Otro Reguetonero Farolon Caído,True,Otro Reguetonero Farolon Caído,reguetonero farolon caído,es
@PedroFlores-dh6py,2024-03-31T13:24:54Z,0,Ojalá muchacho y te quedes con los pies en la tierra,True,Ojalá muchacho y te quedes con los pies en la tierra,ojalá muchacho qued pie tierra,es
@SamuelValencia-hb7ci,2024-03-31T13:23:45Z,0,"Gano
 rey Martinez
Zurdo Ramirez.
Oscar valdez y
El mejor 
Pitbull cruz",True,"Gano
 rey Martinez
Zurdo Ramirez.
Oscar valdez y
El mejor 
Pitbull cruz",gano rey martinez zurdo ramirez oscar valdez mejor pitbul cruz,es
@Eduardomontell-bw7lm,2024-03-31T13:23:25Z,0,Los cubanitos ya son clientes de los mexicanos !😅,True,Los cubanitos ya son clientes de los mexicanos !,cubanito client mexicano,es
@SamuelValencia-hb7ci,2024-03-31T13:21:52Z,0,Donde estan los que dicen que pitbull es un tira piedras,True,Donde estan los que dicen que pitbull es un tira piedras,estan dicen pitbul tira piedra,es
@SamuelValencia-hb7ci,2024-03-31T13:20:37Z,0,"Referee se lo hubieras dejado mínimo otros 2 roud más 
Por hablador este 
Vato",True,"Referee se lo hubieras dejado mínimo otros 2 roud más 
Por hablador este 
Vato",refere dejado mínimo 2 roud hablador vato,es
@user-dm2iw8dx2f,2024-03-31T13:19:02Z,0,Romero vs garcia next,True,Romero vs garcia next,romero v garcia next,es
