author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@bigbwitdathirdeyeopen4526,2024-03-31T04:49:38Z,18,"This why tank ain't want that smoke, rematch for all y'all fan boys",True,"This why tank ain't want that smoke, rematch for all y'all fan boys",tank aint want smoke rematch yall fan boy,en
@tgal164,2024-03-31T04:49:33Z,0,He let his hands do the talking.  Same way Barroso was trying to until he was interrupted...,True,He let his hands do the talking.  Same way Barroso was trying to until he was interrupted...,let hand talk way barroso tri interrupt,en
@SuperChrismj,2024-03-31T04:49:31Z,0,Now that he has a belt here comes Devin Haney,True,Now that he has a belt here comes Devin Haney,belt come devin haney,en
@benjaminodelcamino6689,2024-03-31T04:49:29Z,0,Rematch tank vs pitbull,True,Rematch tank vs pitbull,rematch tank v pitbul,en
@antoniogervacio5803,2024-03-31T04:49:18Z,0,Who is here for pitbull cruz?,True,Who is here for pitbull cruz?,pitbul cruz,en
@MrSmoke719,2024-03-31T04:49:04Z,0,Pitbull Killed him easy Power shots!!!,True,Pitbull Killed him easy Power shots!!!,pitbul kill easi power shot,en
@mrmiyagi7388,2024-03-31T04:49:01Z,0,Put foo in the dirt😂,True,Put foo in the dirt,put foo dirt,en
@NeverPayPig,2024-03-31T04:49:00Z,0,"Cruz is why i love boxing again.

I poofed after my mans Maidana left.",True,"Cruz is why i love boxing again.

I poofed after my mans Maidana left.",cruz love box poof man maidana left,en
@angelg7697,2024-03-31T04:48:48Z,0,Damn rolly u got fucked up boy,True,Damn rolly u got fucked up boy,damn rolli u got fuck boy,en
@flxsemi653,2024-03-31T04:48:47Z,0,"Full credit to Cruz, but I'm always amazed when boxers manage to keep on standing despite being rocked and out of it, so hats off to Romero as well for surviving the latter stage of round 1.",True,"Full credit to Cruz, but I'm always amazed when boxers manage to keep on standing despite being rocked and out of it, so hats off to Romero as well for surviving the latter stage of round 1.",full credit cruz im alway amaz boxer manag keep stand despit rock hat romero well surviv latter stage round 1,en
@antonelockett6892,2024-03-31T04:48:45Z,0,How did Rolly make it that far 😂,True,How did Rolly make it that far ,rolli make far,en
@ericmartinez5373,2024-03-31T04:48:41Z,0,🎉🎉🎉🎉🎉🎉🎉 so happy for u Cruz congratulations,True, so happy for u Cruz congratulations,happi u cruz congratul,en
@LolCatflix,2024-03-31T04:48:33Z,0,We know Haney gonna someho get this fight next,True,We know Haney gonna someho get this fight next,know haney gonna someho get fight next,en
@CreoleX409,2024-03-31T04:48:32Z,0,Cruz is on the roids,True,Cruz is on the roids,cruz roid,en
@windycity08,2024-03-31T04:48:16Z,22,Mexican boxing is #1,True,Mexican boxing is #1,mexican box 1,en
@user-ww1ti5ef1d,2024-03-31T04:48:10Z,0,Pit bull did his thing it ain't the size in the dog. It's the fight in the dog. True champion,True,Pit bull did his thing it ain't the size in the dog. It's the fight in the dog. True champion,pit bull thing aint size dog fight dog true champion,en
@jackwebb3757,2024-03-31T04:47:59Z,0,dude rolly gotta chill with the boxing gig 😂,True,dude rolly gotta chill with the boxing gig ,dude rolli gotta chill box gig,en
@zylethefeah612,2024-03-31T04:47:43Z,1355,"Congrats isaac pitbull cruz
Greetings from Philippines 🇵🇭",True,"Congrats isaac pitbull cruz
Greetings from Philippines ",congrat isaac pitbul cruz greet philippin,en
@StickNclutch,2024-03-31T04:47:33Z,0,Lets hear all the devin haney fans say it...😂😂😂,True,Lets hear all the devin haney fans say it...,let hear devin haney fan say,en
@iradorsey4771,2024-03-31T04:47:27Z,0,"Rolly the gig is up, your 0-2 in the playoffs""",True,"Rolly the gig is up, your 0-2 in the playoffs""",rolli gig 02 playoff,en
@batissta44,2024-03-31T04:47:27Z,0,The REAL Mexican monster.,True,The REAL Mexican monster.,real mexican monster,en
@mr.alexander8435,2024-03-31T04:47:24Z,1,As expected 🐾🐾🐾🐾🐾,True,As expected ,expect,en
@guiltyuntilproveninnocent.,2024-03-31T04:47:22Z,190,The chihuahua dog walked Romero 😂,True,The chihuahua dog walked Romero ,chihuahua dog walk romero,en
@baladoxsgarp5478,2024-03-31T04:47:07Z,1,Viva pitbull from the Filipinas wow 😍,True,Viva pitbull from the Filipinas wow ,viva pitbul filipina wow,en
@jayfrom805,2024-03-31T04:47:02Z,1,140 is a stacked division right now. No more 🦆🦆🦆🦆🦆 please 🙏🏽,True,140 is a stacked division right now. No more 🦆🦆🦆🦆🦆 please ,140 stack divis right pleas,en
@rauly7493,2024-03-31T04:47:01Z,2,It makes me question How is rolly Romero a boxer ?lol,True,It makes me question How is rolly Romero a boxer ?lol,make question rolli romero boxer lol,en
@ronaldodomingo5862,2024-03-31T04:46:57Z,4,Rematch Pitbull Vs Davis💪💪,True,Rematch Pitbull Vs Davis,rematch pitbul v davi,en
